編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-03-31,03:30,北緯 22.93 ° 東經 121.28 °, 22.93 , 121.28 ,臺東縣政府東北方  23.5  公里 ,3級,3.7,8.6
,2023-03-30,14:44,北緯 23.47 ° 東經 121.3 °, 23.47 , 121.3 ,花蓮縣政府南南西方  66.5  公里 ,3級,3.8,12.8
,2023-03-30,14:26,北緯 23.79 ° 東經 121.41 °, 23.79 , 121.41 ,花蓮縣政府西南方  31.0  公里 ,1級,4.0,58.2
,2023-03-30,11:46,北緯 24.51 ° 東經 122.67 °, 24.51 , 122.67 ,宜蘭縣政府東南東方  95.4  公里 ,1級,4.6,86.5
,2023-03-26,12:43,北緯 21.5 ° 東經 121.29 °, 21.5 , 121.29 ,臺東縣政府南方  139.9  公里 ,3級,4.9,41.7
,2023-03-25,09:05,北緯 24.62 ° 東經 121.59 °, 24.62 , 121.59 ,宜蘭縣政府西南西方  21.1  公里 ,1級,4.1,60.5
,2023-03-25,04:24,北緯 23.88 ° 東經 121.44 °, 23.88 , 121.44 ,花蓮縣政府西南西方  21.6  公里 ,2級,3.2,19.4
,2023-03-25,01:22,北緯 23.63 ° 東經 121.29 °, 23.63 , 121.29 ,花蓮縣政府西南方  52.2  公里 ,3級,3.9,7.2
024   ,2023-03-24,18:04,北緯 23.65 ° 東經 121.32 °, 23.65 , 121.32 ,花蓮縣政府西南方  48.9  公里 ,3級,4.3,6.7
,2023-03-23,11:13,北緯 23.76 ° 東經 121.58 °, 23.76 , 121.58 ,花蓮縣政府南方  25.4  公里 ,4級,3.7,6.7
023   ,2023-03-23,05:51,北緯 23.66 ° 東經 121.3 °, 23.66 , 121.3 ,花蓮縣政府西南方  49.4  公里 ,3級,4.7,7.8
022   ,2023-03-22,23:43,北緯 23.65 ° 東經 121.31 °, 23.65 , 121.31 ,花蓮縣政府西南方  49.2  公里 ,3級,4.7,6.5
,2023-03-22,06:15,北緯 22.91 ° 東經 121.08 °, 22.91 , 121.08 ,臺東縣政府北北西方  19.0  公里 ,3級,3.9,12.3
,2023-03-21,09:59,北緯 23.64 ° 東經 121.29 °, 23.64 , 121.29 ,花蓮縣政府西南方  50.9  公里 ,3級,3.9,7.6
,2023-03-21,09:54,北緯 23.63 ° 東經 121.31 °, 23.63 , 121.31 ,花蓮縣政府西南方  51.1  公里 ,3級,4.0,3.3
021   ,2023-03-21,09:46,北緯 23.64 ° 東經 121.29 °, 23.64 , 121.29 ,花蓮縣政府西南方  50.8  公里 ,4級,4.9,7.1
020   ,2023-03-21,09:45,北緯 23.64 ° 東經 121.31 °, 23.64 , 121.31 ,花蓮縣政府西南方  50.2  公里 ,4級,5.4,8.5
,2023-03-20,12:30,北緯 24.41 ° 東經 121.79 °, 24.41 , 121.79 ,宜蘭縣政府南方  35.9  公里 ,3級,3.1,7.6
019   ,2023-03-19,13:12,北緯 22.82 ° 東經 121.05 °, 22.82 , 121.05 ,臺東縣政府西北西方  12.8  公里 ,3級,4.2,10.6
018   ,2023-03-16,12:28,北緯 23.27 ° 東經 121.24 °, 23.27 , 121.24 ,花蓮縣政府南南西方  88.1  公里 ,4級,4.2,18.0
,2023-03-16,02:35,北緯 24.53 ° 東經 121.82 °, 24.53 , 121.82 ,宜蘭縣政府南南東方  23.1  公里 ,3級,3.3,10.1
,2023-03-15,17:31,北緯 24.46 ° 東經 120.86 °, 24.46 , 120.86 ,苗栗縣政府南南東方  12.1  公里 ,2級,3.0,7.3
